,Rooms_per_household,Median_house_value(GT),Predicted_Vlaues,Error in %,Sk_Prediction
0,6.984126984126984,452600,207292.4046483055,54.19964545994134,207292.40464830553
1,6.238137082601054,358500,203169.5767251882,43.32787260106326,203169.5767251882
2,8.288135593220339,352100,214499.20878138876,39.08003158722273,214499.20878138882
3,5.8173515981735155,341300,200844.04102920668,41.153225599412046,200844.04102920668
4,6.281853281853282,342200,203411.1810238536,40.55780800004278,203411.1810238536
5,4.761658031088083,269700,195009.5881663299,27.69388647892848,195009.58816632986
6,4.9319066147859925,299200,195950.49314816028,34.50852501732611,195950.49314816025
7,4.797527047913447,241400,195207.82380442618,19.135118556575733,195207.82380442612
8,4.294117647058823,226700,192425.6543268531,15.118811501167572,192425.65432685305
9,4.970588235294118,261100,196164.27307308436,24.87006010222736,196164.27307308433
10,5.477611940298507,281500,198966.41755841667,29.319212235020725,198966.41755841667
11,4.772479564032698,241800,195069.39503248682,19.326139357945898,195069.3950324868
12,5.322649572649572,213500,198109.99420058227,7.208433629703856,198109.99420058224
13,4.0,191300,190800.1679154482,0.26128180060209244,190800.16791544814
14,4.262903225806451,159200,192253.14302706206,20.762024514486217,192253.143027062
15,4.242424242424242,140000,192139.96277575768,37.24283055411263,192139.96277575762
16,5.9395770392749245,152500,201519.53872757693,32.143959821361925,201519.53872757693
17,4.052805280528053,155500,191092.00441967402,22.888748822941494,191092.00441967396
18,5.343675417661098,158700,198226.1967667877,24.906236147944362,198226.19676678767
19,5.465454545454546,162900,198899.2278460191,22.098973508912884,198899.22784601906
20,4.524096385542169,147500,193696.66719552994,31.319774369850805,193696.66719552988
21,4.478142076502732,159800,193442.693638907,21.05299977403441,193442.69363890693
22,5.096234309623431,113900,196858.67542707783,72.83465796933962,196858.6754270778
23,5.193846153846154,99700,197398.14229675694,97.99211865271509,197398.1422967569
24,5.270142180094787,132600,197819.8040200555,49.18537256414443,197819.80402005548
25,4.495798319327731,107500,193540.27358038787,80.03746379570966,193540.27358038782
26,4.7280334728033475,93800,194823.7568735534,107.70123334067524,194823.75687355333
27,4.7808564231738035,105500,195115.69103288086,84.94378296955531,195115.6910328808
28,4.40169133192389,108900,193020.176840961,77.24534145175484,193020.17684096095
29,4.703225806451613,132000,194686.65349007177,47.489889007630126,194686.65349007174
30,5.068783068783069,122300,196706.9619226063,60.839707213905406,196706.96192260628
31,4.882086167800454,115200,195675.1527855709,69.85690345969698,195675.15278557088
32,5.737313432835821,110400,200401.697798696,81.52327699157246,200401.697798696
33,5.0303951367781155,104900,196494.80511236395,87.31630611283504,196494.80511236392
34,4.972014925373134,109700,196172.15789522923,78.82603272126639,196172.1578952292
35,4.6022727272727275,97200,194128.7207715296,99.72090614354897,194128.72077152954
36,4.807486631016043,104500,195262.86697221437,86.85441815522907,195262.86697221434
37,3.7493796526054592,103900,189415.07602046942,82.30517422566835,189415.07602046937
38,4.757281553398058,191400,194985.40088927906,1.8732502033850882,194985.40088927903
39,3.4942528735632186,176000,188005.07863790597,6.82106740790112,188005.0786379059
40,4.215189873417722,155400,191989.44784683053,23.54533323476868,191989.44784683047
41,3.7590361445783134,150000,189468.44410851406,26.312296072342704,189468.444108514
42,3.7724867724867726,118800,189542.7810723403,59.54779551543796,189542.7810723402
43,4.797979797979798,188800,195210.32599730027,3.3952997867056522,195210.32599730024
44,4.941780821917808,184400,196005.06447251525,6.293418911342327,196005.06447251522
45,4.335078534031414,182300,192652.03096844142,5.678568825255855,192652.03096844137
46,3.700657894736842,142500,189145.80773226178,32.73390016299072,189145.8077322617
47,3.9802371541501977,137500,190690.94550835775,38.68432400607836,190690.9455083577
48,3.9,187500,190247.50253557053,1.4653346856376157,190247.50253557047
49,2.6875,112500,183546.43480455384,63.15238649293674,183546.43480455375
50,2.045662100456621,171900,179999.2189388436,4.711587515324962,179999.21893884346
51,4.58968058968059,93800,194059.12838647128,106.88606437790114,194059.12838647125
52,4.473611111111111,97500,193417.65256181324,98.37707955057769,193417.65256181321
53,4.075,104200,191214.66695035645,83.50735791780849,191214.6669503564
54,5.021459227467811,87500,196445.41943522863,124.50905078311843,196445.4194352286
55,4.295454545454546,83100,192433.0429014504,131.56804199933862,192433.04290145033
56,4.77992277992278,87500,195110.53110986087,122.98346412555527,195110.53110986084
57,6.102459016393443,85300,202419.73102517123,137.30331890406944,202419.73102517123
